test_id,category,component,action,expected,actual,status,evidence,notes
DAY34-01,BUILD,Frontend,npm run build,Vite production bundle generated with zero errors,Built in 32.79s (2537 modules transformed; dist/index.html 1.31kB; dist/assets/ generated),PASS,vite v8.2.2 build output,Clean client build completed cleanly
DAY34-02,BUILD,Backend,Dockerfile inspection,Non-root appuser specified with healthcheck,USER appuser UID 10001; HEALTHCHECK CMD curl; EXPOSE 8000,PASS,backend/Dockerfile,Production container specification
DAY34-03,STARTUP,Backend,FastAPI Lifespan Startup,Load dataset and registries into memory without fatal error,Loaded 71061 panel records and strategy registry successfully,PASS,tests/test_deployment_verification.py::test_readiness_probe_fully_operational,Clean startup verified
DAY34-04,HEALTH,Backend API,GET /health,HTTP 200 with operational status ok,HTTP 200 with {"status":"ok","service":"agricultural-intelligence-api"},PASS,tests/test_deployment_verification.py::test_health_probe_liveness,Process liveness probe
DAY34-05,READINESS,Backend API,GET /ready,HTTP 200 with all 7 subsystems reporting ready,HTTP 200 with dataset/registry/router/monitoring/explainability/decision ready,PASS,tests/test_deployment_verification.py::test_readiness_probe_fully_operational,Comprehensive readiness probe
DAY34-06,READINESS,Readiness Probe,Simulate missing strategy registry,Fail-closed HTTP 503 Service Unavailable,HTTP 503 with status=not_ready and forecast_strategy_registry=not_ready,PASS,tests/test_deployment_verification.py::test_readiness_probe_fails_closed_on_missing_registry,Fail-closed verification
DAY34-07,READINESS,Readiness Probe,Simulate missing canonical dataset,Fail-closed HTTP 503 Service Unavailable,HTTP 503 with status=not_ready and dataset=not_ready,PASS,tests/test_deployment_verification.py::test_readiness_fails_closed_on_missing_dataset,Fail-closed verification
DAY34-08,ROUTING,Nginx Proxy,Inspect frontend/nginx.conf,SPA fallback try_files and proxy_pass to backend:8000/api/,Directives present and verified in configuration,PASS,tests/test_deployment_verification.py::test_nginx_configuration_contracts,Nginx SPA and proxy contract
DAY34-09,ROUTING,Nginx Tracing,Inspect proxy headers,Forward X-Request-ID and client headers,proxy_set_header X-Request-ID $http_x_request_id configured,PASS,tests/test_deployment_verification.py::test_nginx_configuration_contracts,Distributed request tracing
DAY34-10,SECURITY,Backend Network,Audit docker-compose.yml ports,Port 8000 removed from host port mapping and placed under expose,expose: ["8000"] configured; no direct external host access,PASS,docker-compose.yml audit,Direct backend bypass prevented
DAY34-11,SECURITY,Container User,Audit Dockerfile user directive,Container runs as non-root user,USER appuser (UID 10001) enforced,PASS,backend/Dockerfile audit,Least privilege principle enforced
DAY34-12,SECURITY,Security Headers,GET /health and /api endpoints,HTTP security headers present,X-Content-Type-Options: nosniff; X-Frame-Options: DENY; Referrer-Policy,PASS,tests/test_security_acceptance.py::test_security_headers_present_on_all_responses,OWASP security headers verified
DAY34-13,SECURITY,Injection Defense,Simulate SQL/XSS/Command injection payloads,Inputs handled strictly as data; no execution or crash,All 9 injection vectors safely rejected/sanitized as pure data,PASS,tests/test_security_acceptance.py (9 tests),Injection defense verified
DAY34-14,SECURITY,Path Traversal,Simulate path traversal patterns in report paths,Blocked without arbitrary file access,Blocked traversal for ../../etc/passwd and win.ini,PASS,tests/test_security_acceptance.py (6 tests),Filesystem traversal blocked
DAY34-15,RECOVERY,Backend Restart,Simulate backend reload,Subsystems reinitialize cleanly; predictions match pre-restart,PredictionService reloads cleanly with zero state drift,PASS,tests/test_deployment_verification.py (4 tests),Service reload recovery
DAY34-16,RECOVERY,Fault Degradation,Simulate downstream monitoring failure,Graceful fallback without breaking workspace inference,Workspace analysis completes with graceful monitoring degradation flag,PASS,tests/test_failure_resilience.py::test_monitoring_failure_does_not_break_workspace_analysis,Fault tolerance verified
DAY34-17,DETERMINISM,Prediction Engine,Oilseeds forecast identical across restarts,Bitwise identical yield prediction and strategy,Yield prediction identical (float64 bit-match); strategy=RandomForestRegressor,PASS,tests/test_deployment_verification.py::test_deterministic_restart_oilseeds,Golden crop deterministic recovery
DAY34-18,DETERMINISM,Prediction Engine,Sugarcane conditional forecast identical across restarts,Bitwise identical yield prediction and strategy,Yield prediction identical; strategy=GradientBoostingRegressor,PASS,tests/test_deployment_verification.py::test_deterministic_restart_sugarcane,Golden crop deterministic recovery
DAY34-19,DETERMINISM,Prediction Engine,Rice baseline forecast identical across restarts,Bitwise identical yield prediction and baseline strategy,Yield prediction identical; strategy=Historical District Mean,PASS,tests/test_deployment_verification.py::test_deterministic_restart_rice_baseline,Golden crop deterministic recovery
DAY34-20,DETERMINISM,Prediction Engine,Wheat baseline forecast identical across restarts,Bitwise identical yield prediction and baseline strategy,Yield prediction identical; strategy=Historical District Mean,PASS,tests/test_deployment_verification.py::test_deterministic_restart_wheat_baseline,Golden crop deterministic recovery
DAY34-21,PROVENANCE,Audit Trail,Inspect SHA-256 digital provenance trails,SHA-256 hash generated and identical across repeated runs,Provenance hashes prefixed with SHA256: and bit-equal across executions,PASS,tests/test_provenance_chain.py (5 tests),Cryptographic audit trail
DAY34-22,FRONTEND,SPA Interface,Build production distribution,Zero TypeScript errors; production HTML/CSS/JS emitted,dist/index.html and optimized hashed chunks generated,PASS,npm run build (32.79s),Frontend build verified
DAY34-23,BACKEND,API Contracts,Schema contract conformance across 12 endpoints,Strict JSON schema matching for all production routes,All 12 endpoints conform to documented request/response schemas,PASS,tests/test_api_contracts.py (12 tests),API contract conformance
DAY34-24,ARTIFACT_INTEGRITY,Model Registry,Verify existence and non-zero size of registries,Strategy registry and dataset manifests valid,Models/multicrop/forecast_strategy_registry.json exists and valid,PASS,tests/test_deployment_verification.py::test_data_persistence_and_backup_classification,Critical artifact integrity
DAY34-25,ARTIFACT_INTEGRITY,Environment Reproducibility,Scan source code for machine-dependent paths,Zero occurrences of C:/, C:\Users, /home, or /Users,Zero hardcoded machine absolute paths found in src/ and backend/,PASS,tests/test_deployment_verification.py::test_environment_reproducibility_zero_machine_paths,Zero machine path dependency
