test_id,category,page,workflow,expected,actual,status,evidence,notes
DAY35-01,UX,DecisionWorkspace,Dark Mode Theme,Root div and cards adhere to CSS design tokens without hardcoded hexes,bg-background text-foreground and bg-card border-border active in both themes,PASS,frontend/src/pages/DecisionWorkspace.tsx,No dark-mode breaking hex colors
DAY35-02,UX,DecisionIntelligence,Dark Mode Theme,Eliminate forced slate-950 dark background in light mode,Theme switches cleanly between light and dark modes,PASS,frontend/src/pages/DecisionIntelligence.tsx,Harmonized design system tokens
DAY35-03,UX,ForecastMonitoring,Design Consistency,Replace raw hex borders and backgrounds with CSS variables,All control elements and KPI cards use card and border tokens,PASS,frontend/src/pages/ForecastMonitoring.tsx,Design token consistency verified
DAY35-04,ACCESSIBILITY,WebShell,Keyboard Navigation,Skip to main content link available as first focusable element,Skip link targets #main-content with sr-only focus:not-sr-only,PASS,tests/test_day35_ui_contracts.py::test_webshell_skip_to_content_link,WCAG 2.4.1 bypass blocks verified
DAY35-05,ACCESSIBILITY,FeedbackStates,Breadcrumb Navigation,Breadcrumbs specify aria-label and aria-current=page,nav element has aria-label=Breadcrumb and active item has aria-current=page,PASS,tests/test_day35_ui_contracts.py::test_breadcrumbs_aria_landmarks,WCAG 1.3.1 landmark navigation
DAY35-06,ACCESSIBILITY,Navbar,Mobile Menu Controls,Mobile hamburger specifies aria-expanded and aria-controls,aria-expanded and aria-controls=mobile-menu verified on toggle,PASS,tests/test_day35_ui_contracts.py::test_navbar_accessible_controls,Accessible mobile disclosure
DAY35-07,ACCESSIBILITY,DecisionWorkspace,Form Control Labels,All form select/input elements have explicit htmlFor/id associations,htmlFor and id attributes properly matched for screen readers,PASS,frontend/src/pages/DecisionWorkspace.tsx,Accessible form controls
DAY35-08,ACCESSIBILITY,FeedbackStates,Loading State Spinner,Loading indicator has role=status and aria-live=polite,role=status aria-live=polite announced to screen readers,PASS,frontend/src/components/common/FeedbackStates.tsx,Screen reader status messages
DAY35-09,RESPONSIVENESS,Navbar,Mobile Layout,Navbar collapses into mobile drawer without horizontal overflow,Mobile drawer opens with categorized groups under 85vh max height,PASS,frontend/src/components/layout/Navbar.tsx,Responsive navigation tested
DAY35-10,RESPONSIVENESS,DecisionWorkspace,Multi-Column Grid,Workspace side-by-side matrices adapt gracefully to small screens,Grid stacks from 1 col on mobile to 2/3 cols on desktop,PASS,frontend/src/pages/DecisionWorkspace.tsx,Responsive layout verified
DAY35-11,NAVIGATION,Navbar,Information Architecture,Navigation structured into Explore Monitor Decide Governance,4 primary functional domains deployed matching Section 4 IA,PASS,frontend/src/components/layout/Navbar.tsx,Clear product hierarchy
DAY35-12,NAVIGATION,Routes,Deep Route Fallbacks,SPA deep linking and convenience redirects route correctly,/workspace -> /decision-workspace and /explorer -> /prediction-explorer,PASS,frontend/src/routes/AppRoutes.tsx,SPA routing contracts
DAY35-13,SCIENTIFIC_TERMINOLOGY,ForecastMonitoring,Semantic Scrubbing,Remove internal development-day labels from user-facing badges,Zero occurrences of Day 30/31/32 in production UI,PASS,tests/test_day35_ui_contracts.py::test_zero_user_facing_internal_day_labels,Internal dev labels scrubbed
DAY35-14,SCIENTIFIC_TERMINOLOGY,PredictionExplorer,Uncertainty Terminology,Empirical P10-P90 labeled as ensemble interval rather than confidence interval,Disclaimer explicitly clarifies not a formal frequentist confidence interval,PASS,tests/test_day35_ui_contracts.py::test_decision_workspace_uncertainty_contract_ml,Empirical ensemble interval terminology
DAY35-15,SCIENTIFIC_TERMINOLOGY,ScienceWhitepaper,Causal Language Scrub,Ensure zero ungrounded causal or 100% accuracy claims,Zero occurrences of 100% accurate or guaranteed yield,PASS,tests/test_day35_ui_contracts.py::test_zero_ungrounded_marketing_claims,Scientifically defensible terminology
DAY35-16,DATA_DISPLAY,Home,Platform Scale,Display verified 71601 records across 20 states and 311 districts,PlatformMetrics displays 71601 records 29 crops 20 states 311 districts,PASS,frontend/src/components/home/PlatformMetrics.tsx,Verified scale data display
DAY35-17,DATA_DISPLAY,DecisionWorkspace,Semantic Entity Badges,Explicit semantic badges [OBSERVED] [PREDICTED] [SCENARIO] [DERIVED],Distinct semantic classifications attached to every evidence card,PASS,tests/test_day35_ui_contracts.py::test_decision_workspace_semantic_entity_typing,Visible semantic categorization
DAY35-18,DATA_DISPLAY,DecisionWorkspace,Baseline Uncertainty Transparency,Deterministic baseline crops explicitly state uncertainty unavailable,Rice and Wheat return is_available=false with explanation,PASS,tests/test_day35_ui_contracts.py::test_decision_workspace_uncertainty_contract_baseline,Transparent baseline uncertainty
DAY35-19,DEMO,GoldenJourneys,Oilseeds Governed ML,Governed ML workflow with model metadata provenance and attribution,POST /api/forecast/predict returns RandomForestRegressor and SHA-256 provenance,PASS,tests/test_day35_ui_contracts.py::test_strategy_transparency_oilseeds_governed_ml,Golden demo case 1 verified
DAY35-20,DEMO,GoldenJourneys,Rice Statistical Baseline,Governed baseline workflow with historical reference and no fake ML,POST /api/forecast/predict returns Historical District Mean,PASS,tests/test_day35_ui_contracts.py::test_strategy_transparency_rice_baseline,Golden demo case 2 verified
DAY35-21,DEMO,GoldenJourneys,Sugarcane Conditional ML,Conditional production strategy with GradientBoostingRegressor,POST /api/forecast/predict returns CONDITIONAL_PRODUCTION status,PASS,tests/test_day35_ui_contracts.py::test_strategy_transparency_sugarcane_conditional_ml,Golden demo case 3 verified
DAY35-22,DEMO,GoldenJourneys,Wheat Statistical Baseline,Baseline production strategy with historical district mean,POST /api/forecast/predict returns BASELINE_PRODUCTION status,PASS,tests/test_day35_ui_contracts.py::test_strategy_transparency_wheat_baseline,Golden demo case 4 verified
DAY35-23,ERROR_HANDLING,FeedbackStates,Empty & Error States,Explicit non-blank feedback for missing data and network errors,EmptyState and ErrorState display actionable messages with retry button,PASS,frontend/src/components/common/FeedbackStates.tsx,Defensive UI states
DAY35-24,ERROR_HANDLING,DecisionWorkspace,Boundary Validation,Validate invalid district or missing crop inputs gracefully,Returns HTTP 400 Bad Request with structured message,PASS,tests/test_end_to_end_acceptance.py::test_negative_workflow_unsupported_crop,Graceful error handling
DAY35-25,REGRESSION,BackendTests,Deployment Verification Suite,Full 13 deployment verification tests continue to pass,13 / 13 passed in 5.93s,PASS,tests/test_deployment_verification.py,Deployment verification regression
DAY35-26,REGRESSION,BackendTests,Day 35 Contract Suite,All 12 UI contract and accessibility tests pass,12 / 12 passed in 11.24s,PASS,tests/test_day35_ui_contracts.py,Day 35 test regression
DAY35-27,REGRESSION,FrontendBuild,Production Build,Vite client bundling completes with zero TypeScript errors,Built cleanly in 7.89s (dist/index.html 1.31kB),PASS,npm run build,Frontend build verification
