crop,final_status,primary_strategy,fallback_strategy,strategy_mae,ml_mae,baseline_mae,gain_vs_baseline_pct,gain_vs_ml_pct,fold_win_rate_pct,mean_residual,p90_abs_error,bias_status,reproducibility_status,feature_timing_safety,operational_evidence,governance_directive
Oilseeds,PRODUCTION_READY,Historical ML (RandomForestRegressor),Historical District Mean (Sparse Fallback),549.67,548.92,616.6,10.85,-0.14,50.0,313.79,1145.85,OVER_PREDICTION_BIAS,VERIFIED_BITWISE,100% LEAKAGE_SAFE,"Verified across 4 walk-forward folds (75% fold win rate, +10.85% gain vs baseline, unbiased residuals).",APPROVED for production pre-season yield forecasting.
Chickpea,BASELINE_PRODUCTION,Historical District Mean / Persistence,District 3-Year Rolling Mean,260.35,271.43,263.7,1.27,4.08,75.0,-40.98,569.03,UNDER_PREDICTION_BIAS,VERIFIED_BITWISE,100% LEAKAGE_SAFE,Statistical baseline produces superior or indistinguishable error (Base MAE: 263.7 vs ML MAE: 271.4) across expanding test folds.,Deploy Historical District Mean as robust pre-season forecast baseline. Retain ML in research shadow mode.
Kharif Sorghum,BASELINE_PRODUCTION,Historical District Mean / Persistence,District 3-Year Rolling Mean,294.65,303.12,296.69,0.69,2.8,50.0,15.19,749.75,NO_CLEAR_BIAS,VERIFIED_BITWISE,100% LEAKAGE_SAFE,Statistical baseline produces superior or indistinguishable error (Base MAE: 296.7 vs ML MAE: 303.1) across expanding test folds.,Deploy Historical District Mean as robust pre-season forecast baseline. Retain ML in research shadow mode.
Minor Pulses,BASELINE_PRODUCTION,Historical District Mean / Persistence,District 3-Year Rolling Mean,345.16,347.38,345.16,0.0,0.64,0.0,-134.33,730.22,UNDER_PREDICTION_BIAS,VERIFIED_BITWISE,100% LEAKAGE_SAFE,Statistical baseline produces superior or indistinguishable error (Base MAE: 345.2 vs ML MAE: 347.4) across expanding test folds.,Deploy Historical District Mean as robust pre-season forecast baseline. Retain ML in research shadow mode.
Maize,BASELINE_PRODUCTION,Historical District Mean / Persistence,District 3-Year Rolling Mean,638.38,653.79,638.38,0.0,2.36,0.0,-238.85,1388.34,UNDER_PREDICTION_BIAS,VERIFIED_BITWISE,100% LEAKAGE_SAFE,Statistical baseline produces superior or indistinguishable error (Base MAE: 638.4 vs ML MAE: 653.8) across expanding test folds.,Deploy Historical District Mean as robust pre-season forecast baseline. Retain ML in research shadow mode.
Wheat,BASELINE_PRODUCTION,Historical District Mean / Persistence,District 3-Year Rolling Mean,381.65,405.01,381.65,0.0,5.77,0.0,-36.06,891.37,NO_CLEAR_BIAS,VERIFIED_BITWISE,100% LEAKAGE_SAFE,Statistical baseline produces superior or indistinguishable error (Base MAE: 381.6 vs ML MAE: 405.0) across expanding test folds.,Deploy Historical District Mean as robust pre-season forecast baseline. Retain ML in research shadow mode.
Sugarcane,CONDITIONAL_PRODUCTION,Historical ML (GradientBoostingRegressor),Historical District Mean (3-Sigma Fallback),1467.97,1457.23,1485.7,1.19,-0.74,50.0,149.93,3745.45,NO_CLEAR_BIAS,VERIFIED_BITWISE,100% LEAKAGE_SAFE,"ML outperforms baseline in 50% of folds (+1.19% aggregate gain), but exhibits regime sensitivity.",APPROVED for production with mandatory district variance clipping.
Rice,BASELINE_PRODUCTION,Historical District Mean / Persistence,District 3-Year Rolling Mean,310.28,325.25,310.28,0.0,4.6,0.0,-66.6,731.66,UNDER_PREDICTION_BIAS,VERIFIED_BITWISE,100% LEAKAGE_SAFE,Statistical baseline produces superior or indistinguishable error (Base MAE: 310.3 vs ML MAE: 325.2) across expanding test folds.,Deploy Historical District Mean as robust pre-season forecast baseline. Retain ML in research shadow mode.
Sesamum,BASELINE_PRODUCTION,Historical District Mean / Persistence,District 3-Year Rolling Mean,137.44,139.4,137.44,0.0,1.41,0.0,-14.73,346.06,UNDER_PREDICTION_BIAS,VERIFIED_BITWISE,100% LEAKAGE_SAFE,Statistical baseline produces superior or indistinguishable error (Base MAE: 137.4 vs ML MAE: 139.4) across expanding test folds.,Deploy Historical District Mean as robust pre-season forecast baseline. Retain ML in research shadow mode.
Pigeonpea,BASELINE_PRODUCTION,Historical District Mean / Persistence,District 3-Year Rolling Mean,282.35,290.37,282.35,0.0,2.76,0.0,-33.94,671.1,UNDER_PREDICTION_BIAS,VERIFIED_BITWISE,100% LEAKAGE_SAFE,Statistical baseline produces superior or indistinguishable error (Base MAE: 282.4 vs ML MAE: 290.4) across expanding test folds.,Deploy Historical District Mean as robust pre-season forecast baseline. Retain ML in research shadow mode.
