crop,day19_status,day20_status,day21_status,win_rate,mean_mae_improvement_pct,median_mae_improvement_pct,worst_fold_degradation_pct,ml_mae_cv,feature_timing_status,total_test_observations,decision_basis,methodology_version
Minor Pulses,BASELINE_PREFERRED,SPLIT_SENSITIVE,RESEARCH_CANDIDATE,50.0,-5.75,-7.69,-16.27,0.1869,SAFE,1232,Low overall win rate (50.0%) or negative average gain (-5.75%); Demonstrates localized predictive signal in subset of districts/regimes; Requires additional pre-season covariates (weather/satellite) before general deployment,day21-v1.0
Maize,ACCEPTED,SPLIT_SENSITIVE,RESEARCH_CANDIDATE,25.0,-2.63,-3.05,-7.24,0.1349,SAFE,1219,Low overall win rate (25.0%) or negative average gain (-2.63%); Demonstrates localized predictive signal in subset of districts/regimes; Requires additional pre-season covariates (weather/satellite) before general deployment,day21-v1.0
Rice,BASELINE_PREFERRED,SPLIT_SENSITIVE,BASELINE_PREFERRED,25.0,-8.39,-10.76,-12.75,0.1412,SAFE,1232,Statistical baseline consistently outperforms ML (win rate 25.0%); Negative average MAE improvement (-8.39%); Historical district mean or persistence provides superior stability,day21-v1.0
Sesamum,ACCEPTED,SPLIT_SENSITIVE,BASELINE_PREFERRED,25.0,-1.19,-2.22,-4.18,0.1094,SAFE,1230,Statistical baseline consistently outperforms ML (win rate 25.0%); Negative average MAE improvement (-1.19%); Historical district mean or persistence provides superior stability,day21-v1.0
Chickpea,BASELINE_PREFERRED,ROBUST_ACCEPTED,ML_WITH_CONDITIONS,75.0,2.31,6.11,-22.3,0.2016,SAFE,1231,"Moderate win rate >= 50% (75.0%); Positive average/median gain (mean: 2.31%, median: 6.11%); Temporal or regime instability observed (worst fold -22.3%, MAE CV 0.2016); Requires operational fallback to baseline during anomalous conditions",day21-v1.0
Pigeonpea,ACCEPTED,BASELINE_PREFERRED,BASELINE_PREFERRED,25.0,-5.63,-3.39,-16.12,0.1531,SAFE,1232,Statistical baseline consistently outperforms ML (win rate 25.0%); Negative average MAE improvement (-5.63%); Historical district mean or persistence provides superior stability,day21-v1.0
Wheat,BASELINE_PREFERRED,SPLIT_SENSITIVE,RESEARCH_CANDIDATE,50.0,-18.36,-20.81,-51.35,0.2371,SAFE,1232,Low overall win rate (50.0%) or negative average gain (-18.36%); Demonstrates localized predictive signal in subset of districts/regimes; Requires additional pre-season covariates (weather/satellite) before general deployment,day21-v1.0
Oilseeds,BASELINE_PREFERRED,ROBUST_ACCEPTED,ROBUST_ML,75.0,12.79,5.18,-2.34,0.4391,SAFE,1229,Walk-forward win rate >= 75% (75.0%); Positive mean MAE improvement (+12.79%); Positive median MAE improvement (+5.18%); No catastrophic fold degradation (worst fold -2.34%); Feature observation timing verified SAFE,day21-v1.0
Sugarcane,ACCEPTED,SPLIT_SENSITIVE,RESEARCH_CANDIDATE,50.0,-1.6,-3.54,-10.19,0.1115,SAFE,1208,Low overall win rate (50.0%) or negative average gain (-1.6%); Demonstrates localized predictive signal in subset of districts/regimes; Requires additional pre-season covariates (weather/satellite) before general deployment,day21-v1.0
Rapeseed and Mustard,BASELINE_PREFERRED,SPLIT_SENSITIVE,BASELINE_PREFERRED,25.0,-10.8,-7.07,-37.39,0.1053,SAFE,1232,Statistical baseline consistently outperforms ML (win rate 25.0%); Negative average MAE improvement (-10.8%); Historical district mean or persistence provides superior stability,day21-v1.0
Groundnut,BASELINE_PREFERRED,SPLIT_SENSITIVE,BASELINE_PREFERRED,25.0,-7.87,-6.62,-18.52,0.0778,SAFE,1230,Statistical baseline consistently outperforms ML (win rate 25.0%); Negative average MAE improvement (-7.87%); Historical district mean or persistence provides superior stability,day21-v1.0
Sorghum,BASELINE_PREFERRED,SPLIT_SENSITIVE,BASELINE_PREFERRED,25.0,-3.5,-1.45,-13.24,0.1343,SAFE,1231,Statistical baseline consistently outperforms ML (win rate 25.0%); Negative average MAE improvement (-3.5%); Historical district mean or persistence provides superior stability,day21-v1.0
Kharif Sorghum,BASELINE_PREFERRED,SPLIT_SENSITIVE,ML_WITH_CONDITIONS,50.0,1.3,0.79,-2.28,0.1256,SAFE,1231,"Moderate win rate >= 50% (50.0%); Positive average/median gain (mean: 1.3%, median: 0.79%); Temporal or regime instability observed (worst fold -2.28%, MAE CV 0.1256); Requires operational fallback to baseline during anomalous conditions",day21-v1.0
Pearl Millet,BASELINE_PREFERRED,BASELINE_PREFERRED,BASELINE_PREFERRED,0.0,-6.04,-6.07,-8.03,0.0285,SAFE,1228,Statistical baseline consistently outperforms ML (win rate 0.0%); Negative average MAE improvement (-6.04%); Historical district mean or persistence provides superior stability,day21-v1.0
