claim_id,claim,source_document,source_artifact,data_source,model_artifact,validation_protocol,metric,value,population,time_period,reproduction_status,evidence_reference,limitation
CLM-DATA-01,Unified agricultural panel contains 71601 records,README.md,agricultural_panel.csv,ICRISAT / DES,None,Dataset aggregation,Record Count,71601,20 States 311 Districts,2010-2017,REPRODUCED,Datasets/processed/agricultural_panel.csv,Panel spans 2010-2017 active window
CLM-DATA-02,Canonical panel covers 29 verified crops,dataset_manifest.json,agricultural_panel.csv,ICRISAT / DES,None,Schema normalization,Crop Count,29,Pan-India panel,2010-2017,REPRODUCED,Datasets/processed/agricultural_panel.csv,Only 14 crops qualify as MODEL_READY
CLM-DATA-03,Canonical panel covers 20 Indian states and 311 districts,PlatformMetrics.tsx,agricultural_panel.csv,ICRISAT / DES,None,Spatial harmonization,Geographic Scope,20 States 311 Districts,Pan-India,2010-2017,REPRODUCED,Datasets/processed/agricultural_panel.csv,Administrative boundaries as of 1966 baseline
CLM-DATA-04,Historical single-crop Rice panel contains 2469 records,DAY18_PRE_MODELING_AUDIT.md,rice_data_outlier_removed.csv,ICRISAT Rice subset,None,Outlier filtering,Record Count,2469,20 States 311 Districts,2010-2017,REPRODUCED,Datasets/rice_data_outlier_removed.csv,Specific to single-crop Rice research
CLM-MOD-01,Legacy Rice model achieves R2 = 0.7866 on test split,forecasting_model_metadata.json,forecasting_pipeline.pkl,rice_data_outlier_removed.csv,forecasting_pipeline.pkl,Out-of-time holdout (1851 train 618 test),R2 Score,0.7866,Rice districts,Train: 2010-15 Test: 2016-17,REPRODUCED,Models/forecasting_model_metadata.json,Applies to single out-of-time test split
CLM-MOD-02,Legacy Rice model achieves MAE = 353.01 kg/ha,forecasting_model_metadata.json,forecasting_pipeline.pkl,rice_data_outlier_removed.csv,forecasting_pipeline.pkl,Out-of-time holdout (1851 train 618 test),MAE,353.01,Rice districts,Train: 2010-15 Test: 2016-17,REPRODUCED,Models/forecasting_model_metadata.json,Tested on historical 2016-2017 holdout
CLM-MOD-03,Legacy Rice model achieves RMSE = 513.11 kg/ha,forecasting_model_metadata.json,forecasting_pipeline.pkl,rice_data_outlier_removed.csv,forecasting_pipeline.pkl,Out-of-time holdout (1851 train 618 test),RMSE,513.11,Rice districts,Train: 2010-15 Test: 2016-17,REPRODUCED,Models/forecasting_model_metadata.json,Tested on historical 2016-2017 holdout
CLM-MOD-04,Legacy Rice model achieves MAPE = 18.04%,forecasting_model_metadata.json,forecasting_pipeline.pkl,rice_data_outlier_removed.csv,forecasting_pipeline.pkl,Out-of-time holdout (1851 train 618 test),MAPE,18.04,Rice districts,Train: 2010-15 Test: 2016-17,REPRODUCED,Models/forecasting_model_metadata.json,Sensitive to near-zero regional yield tails
CLM-GOV-01,14 crops qualify for pre-season forecasting evaluation,crop_model_readiness.csv,crop_model_readiness.csv,agricultural_panel.csv,None,Sufficiency threshold (N>=100 multi-district),Model Ready Count,14,Pan-India panel,2010-2017,REPRODUCED,Datasets/metadata/crop_model_readiness.csv,Remaining 15 crops restricted to baseline
CLM-GOV-02,Oilseeds is certified for PRODUCTION_READY machine learning,final_model_certification.csv,forecast_strategy_registry.json,agricultural_panel.csv,RandomForestRegressor,Expanding walk-forward tournament,Certification Status,PRODUCTION_READY,Oilseeds districts,2014-2017,REPRODUCED,Datasets/metadata/final_model_certification.csv,Requires district lag feature availability
CLM-GOV-03,Oilseeds ML achieves 75% walk-forward fold win-rate vs baseline,multicrop_model_selection.csv,multicrop_fold_results.csv,agricultural_panel.csv,RandomForestRegressor,Expanding walk-forward,Fold Win Rate,75.0,4 expanding test folds,2014-2017,REPRODUCED,Datasets/metadata/multicrop_model_selection.csv,Evaluated across 2014-2017 test origins
CLM-GOV-04,Oilseeds ML achieves +12.79% mean MAE improvement over baseline,multicrop_model_selection.csv,multicrop_fold_results.csv,agricultural_panel.csv,RandomForestRegressor,Expanding walk-forward,Mean MAE Improvement,12.79,4 expanding test folds,2014-2017,REPRODUCED,Datasets/metadata/multicrop_model_selection.csv,Unbiased residuals with positive median gain
CLM-GOV-05,Sugarcane raw unclipped GBDT exhibits -1.60% MAE degradation,multicrop_model_selection.csv,multicrop_fold_results.csv,agricultural_panel.csv,GradientBoostingRegressor,Expanding walk-forward (unclipped),Mean MAE Improvement,-1.60,4 expanding test folds,2014-2017,REPRODUCED,Datasets/metadata/multicrop_model_selection.csv,Degraded during 2015 drought fold (-10.19%)
CLM-GOV-06,Sugarcane governed GBDT with 3-sigma fallback achieves +1.19% gain,final_model_certification.csv,final_strategy_results.csv,agricultural_panel.csv,GradientBoostingRegressor,Expanding walk-forward (clipped fallback),Aggregate Gain,1.19,4 expanding test folds,2014-2017,REPRODUCED,Datasets/metadata/final_model_certification.csv,Requires operational 3-sigma variance clipping
