crop,day21_status,day22_status,model_a_hist_mae,model_b_exo_mae,model_c_base_mae,gain_vs_historical_pct,gain_vs_baseline_pct,win_rate_vs_historical,win_rate_vs_baseline,shock_year_2016_gain_pct,best_ablation_tier,decision_basis
Oilseeds,ROBUST_ML,NO_MEANINGFUL_GAIN,548.92,584.97,616.6,-6.57,5.13,25.0,50.0,-12.25,EXP-22A (Historical),Exogenous pre-season weather features provide no reliable improvement over historical baseline or Model A.
Chickpea,ML_WITH_CONDITIONS,NO_MEANINGFUL_GAIN,271.43,284.49,263.69,-4.81,-7.89,25.0,25.0,-1.93,EXP-22A (Historical),Exogenous pre-season weather features provide no reliable improvement over historical baseline or Model A.
Kharif Sorghum,ML_WITH_CONDITIONS,NO_MEANINGFUL_GAIN,303.12,339.29,296.7,-11.93,-14.35,25.0,25.0,-32.0,EXP-22A (Historical),Exogenous pre-season weather features provide no reliable improvement over historical baseline or Model A.
Minor Pulses,RESEARCH_CANDIDATE,NO_MEANINGFUL_GAIN,347.38,379.07,345.17,-9.12,-9.82,50.0,25.0,0.32,EXP-22A (Historical),Inconsistent fold performance; historical statistical baseline or Model A remains preferred.
Maize,RESEARCH_CANDIDATE,NO_MEANINGFUL_GAIN,653.8,665.2,638.38,-1.74,-4.2,0.0,25.0,-3.1,EXP-22A (Historical),Exogenous pre-season weather features provide no reliable improvement over historical baseline or Model A.
Wheat,RESEARCH_CANDIDATE,NO_MEANINGFUL_GAIN,405.01,413.07,381.65,-1.99,-8.23,50.0,25.0,5.25,EXP-22A (Historical),Inconsistent fold performance; historical statistical baseline or Model A remains preferred.
Sugarcane,RESEARCH_CANDIDATE,NO_MEANINGFUL_GAIN,1457.23,1536.91,1485.7,-5.47,-3.45,50.0,25.0,-24.63,EXP-22A (Historical),Inconsistent fold performance; historical statistical baseline or Model A remains preferred.
Rice,BASELINE_PREFERRED,NO_MEANINGFUL_GAIN,325.25,329.25,310.28,-1.23,-6.11,50.0,25.0,-2.95,EXP-22A (Historical),Inconsistent fold performance; historical statistical baseline or Model A remains preferred.
Sesamum,BASELINE_PREFERRED,NO_MEANINGFUL_GAIN,139.4,144.17,137.44,-3.42,-4.89,25.0,50.0,-2.04,EXP-22A (Historical),Exogenous pre-season weather features provide no reliable improvement over historical baseline or Model A.
Pigeonpea,BASELINE_PREFERRED,NO_MEANINGFUL_GAIN,290.37,300.93,282.35,-3.64,-6.58,25.0,25.0,4.66,EXP-22A (Historical),Exogenous pre-season weather features provide no reliable improvement over historical baseline or Model A.
Rapeseed and Mustard,BASELINE_PREFERRED,NO_MEANINGFUL_GAIN,199.43,221.59,193.33,-11.11,-14.62,25.0,25.0,-4.86,EXP-22A (Historical),Exogenous pre-season weather features provide no reliable improvement over historical baseline or Model A.
Groundnut,BASELINE_PREFERRED,NO_MEANINGFUL_GAIN,306.51,337.51,287.4,-10.11,-17.44,50.0,25.0,0.25,EXP-22A (Historical),Inconsistent fold performance; historical statistical baseline or Model A remains preferred.
Sorghum,BASELINE_PREFERRED,NO_MEANINGFUL_GAIN,273.38,312.34,264.02,-14.25,-18.3,25.0,25.0,-33.15,EXP-22A (Historical),Exogenous pre-season weather features provide no reliable improvement over historical baseline or Model A.
Pearl Millet,BASELINE_PREFERRED,NO_MEANINGFUL_GAIN,280.1,302.98,260.24,-8.17,-16.42,25.0,0.0,-9.31,EXP-22A (Historical),Exogenous pre-season weather features provide no reliable improvement over historical baseline or Model A.
