crop,readiness_score,readiness_status,data_volume_score,temporal_score,geographic_score,target_quality_score,validation_score,feature_score,blocking_reasons,recommendation
Minor Pulses,98.9,MODEL_READY,100.0,100.0,99.7,94.7,100.0,100.0,None (All criteria met),Support crop-specific baseline forecasting and prospective ML model development.
Maize,97.8,MODEL_READY,100.0,100.0,95.2,94.9,100.0,100.0,None (All criteria met),Support crop-specific baseline forecasting and prospective ML model development.
Rice,97.6,MODEL_READY,100.0,100.0,94.2,95.2,100.0,100.0,None (All criteria met),Support crop-specific baseline forecasting and prospective ML model development.
Sesamum,97.2,MODEL_READY,100.0,100.0,95.2,92.1,100.0,100.0,None (All criteria met),Support crop-specific baseline forecasting and prospective ML model development.
Chickpea,96.5,MODEL_READY,100.0,100.0,91.6,93.0,100.0,100.0,None (All criteria met),Support crop-specific baseline forecasting and prospective ML model development.
Pigeonpea,96.3,MODEL_READY,100.0,100.0,92.0,91.4,100.0,100.0,None (All criteria met),Support crop-specific baseline forecasting and prospective ML model development.
Wheat,95.6,MODEL_READY,100.0,100.0,88.4,92.6,100.0,100.0,None (All criteria met),Support crop-specific baseline forecasting and prospective ML model development.
Oilseeds,95.0,MODEL_READY,100.0,100.0,95.5,80.4,100.0,100.0,None (All criteria met),Support crop-specific baseline forecasting and prospective ML model development.
Sugarcane,94.9,MODEL_READY,100.0,100.0,89.4,87.6,100.0,100.0,None (All criteria met),Support crop-specific baseline forecasting and prospective ML model development.
Rapeseed and Mustard,94.8,MODEL_READY,100.0,100.0,88.7,88.2,100.0,100.0,None (All criteria met),Support crop-specific baseline forecasting and prospective ML model development.
Groundnut,93.9,MODEL_READY,100.0,100.0,85.5,87.8,100.0,100.0,None (All criteria met),Support crop-specific baseline forecasting and prospective ML model development.
Sorghum,90.3,MODEL_READY,100.0,100.0,74.6,83.1,100.0,100.0,None (All criteria met),Support crop-specific baseline forecasting and prospective ML model development.
Kharif Sorghum,89.8,MODEL_READY,100.0,100.0,74.6,80.9,100.0,100.0,None (All criteria met),Support crop-specific baseline forecasting and prospective ML model development.
Pearl Millet,88.9,MODEL_READY,100.0,100.0,72.3,79.0,100.0,100.0,None (All criteria met),Support crop-specific baseline forecasting and prospective ML model development.
Sunflower,84.6,ANALYTICS_READY,100.0,100.0,61.4,71.2,100.0,100.0,Severe zero-inflation in target (56.5% zero yield observations),"Retain for historical analytics, geographic comparisons, and descriptive reporting. Not recommended for predictive modeling due to localized or zero-inflated target."
Cotton,83.7,ANALYTICS_READY,100.0,100.0,56.3,73.3,100.0,100.0,Severe zero-inflation in target (53.2% zero yield observations),"Retain for historical analytics, geographic comparisons, and descriptive reporting. Not recommended for predictive modeling due to localized or zero-inflated target."
Linseed,83.6,ANALYTICS_READY,100.0,100.0,58.5,69.8,100.0,100.0,Severe zero-inflation in target (60.4% zero yield observations),"Retain for historical analytics, geographic comparisons, and descriptive reporting. Not recommended for predictive modeling due to localized or zero-inflated target."
Soyabean,83.2,ANALYTICS_READY,100.0,100.0,55.6,71.5,100.0,100.0,Severe zero-inflation in target (56.7% zero yield observations),"Retain for historical analytics, geographic comparisons, and descriptive reporting. Not recommended for predictive modeling due to localized or zero-inflated target."
Barley,82.3,ANALYTICS_READY,100.0,100.0,51.1,72.5,100.0,100.0,Severe zero-inflation in target (53.1% zero yield observations),"Retain for historical analytics, geographic comparisons, and descriptive reporting. Not recommended for predictive modeling due to localized or zero-inflated target."
Castor,81.2,ANALYTICS_READY,100.0,100.0,49.8,68.7,100.0,100.0,Severe zero-inflation in target (62.6% zero yield observations),"Retain for historical analytics, geographic comparisons, and descriptive reporting. Not recommended for predictive modeling due to localized or zero-inflated target."
Finger Millet,78.5,ANALYTICS_READY,100.0,100.0,41.5,65.8,100.0,100.0,Severe zero-inflation in target (68.2% zero yield observations),"Retain for historical analytics, geographic comparisons, and descriptive reporting. Not recommended for predictive modeling due to localized or zero-inflated target."
Rabi Sorghum,75.2,ANALYTICS_READY,100.0,100.0,31.5,61.5,100.0,100.0,Severe zero-inflation in target (76.2% zero yield observations),"Retain for historical analytics, geographic comparisons, and descriptive reporting. Not recommended for predictive modeling due to localized or zero-inflated target."
Safflower,74.7,ANALYTICS_READY,100.0,100.0,32.2,58.1,100.0,100.0,Severe zero-inflation in target (83.8% zero yield observations),"Retain for historical analytics, geographic comparisons, and descriptive reporting. Not recommended for predictive modeling due to localized or zero-inflated target."
Fruits and Vegetables,46.0,INSUFFICIENT_DATA,100.0,100.0,0.0,0.0,40.0,100.0,Low yield completeness (0.00 < 0.9); Highly localized/sparse cultivation (0 active districts < 10),Insufficient verified observations for statistical inference.
Fodder,46.0,INSUFFICIENT_DATA,100.0,100.0,0.0,0.0,40.0,100.0,Low yield completeness (0.00 < 0.9); Highly localized/sparse cultivation (0 active districts < 10),Insufficient verified observations for statistical inference.
Fruits,46.0,INSUFFICIENT_DATA,100.0,100.0,0.0,0.0,40.0,100.0,Low yield completeness (0.00 < 0.9); Highly localized/sparse cultivation (0 active districts < 10),Insufficient verified observations for statistical inference.
Onion,46.0,INSUFFICIENT_DATA,100.0,100.0,0.0,0.0,40.0,100.0,Low yield completeness (0.00 < 0.9); Highly localized/sparse cultivation (0 active districts < 10),Insufficient verified observations for statistical inference.
Potatoes,46.0,INSUFFICIENT_DATA,100.0,100.0,0.0,0.0,40.0,100.0,Low yield completeness (0.00 < 0.9); Highly localized/sparse cultivation (0 active districts < 10),Insufficient verified observations for statistical inference.
Vegetables,46.0,INSUFFICIENT_DATA,100.0,100.0,0.0,0.0,40.0,100.0,Low yield completeness (0.00 < 0.9); Highly localized/sparse cultivation (0 active districts < 10),Insufficient verified observations for statistical inference.
