crop,day21_status,primary_forecasting_model,fallback_model,operating_conditions,diagnostic_notes,missing_information_gaps,evidence_required,evidence_strength_score,evidence_interpretation
Minor Pulses,RESEARCH_CANDIDATE,Historical District Mean,Naive Persistence,Deploy statistical baseline (Historical District Mean) as primary operational forecaster. ML model (GradientBoostingRegressor) maintained in shadow/research mode for offline evaluation.,"ML shows localized predictive signal in selected districts, but overall walk-forward win rate is low (50.0%) or mean gain is negative (-5.75%).","Direct weather observations (precipitation, temperature anomalies) and satellite NDVI.",Substantial MAE improvement over baseline in >=3 walk-forward origins with exogenous data.,40.0,"Promising localized research signal, but insufficient for general forecasting."
Maize,RESEARCH_CANDIDATE,Historical District Mean,Naive Persistence,Deploy statistical baseline (Historical District Mean) as primary operational forecaster. ML model (RandomForestRegressor) maintained in shadow/research mode for offline evaluation.,"ML shows localized predictive signal in selected districts, but overall walk-forward win rate is low (25.0%) or mean gain is negative (-2.63%).","Direct weather observations (precipitation, temperature anomalies) and satellite NDVI.",Substantial MAE improvement over baseline in >=3 walk-forward origins with exogenous data.,35.0,"Promising localized research signal, but insufficient for general forecasting."
Rice,BASELINE_PREFERRED,Historical District Mean,Naive Persistence,Statistical baseline (Historical District Mean) is the primary forecasting engine. No ML model deployed to production for this crop.,"ML consistently degraded forecast accuracy (win rate 25.0%, gain -8.39%). District historical yield distributions provide lower variance and superior robustness.","Crop-specific input data (fertilizer application, pest incidence, cultivar distribution).",Complete structural feature overhaul before reconsidering ML.,25.0,Clear baseline superiority; ML is not currently defensible.
Sesamum,BASELINE_PREFERRED,Historical District Mean,Naive Persistence,Statistical baseline (Historical District Mean) is the primary forecasting engine. No ML model deployed to production for this crop.,"ML consistently degraded forecast accuracy (win rate 25.0%, gain -1.19%). District historical yield distributions provide lower variance and superior robustness.","Crop-specific input data (fertilizer application, pest incidence, cultivar distribution).",Complete structural feature overhaul before reconsidering ML.,25.0,Clear baseline superiority; ML is not currently defensible.
Chickpea,ML_WITH_CONDITIONS,GradientBoostingRegressor,Historical District Mean,Conditional ML forecasting. Primary in normal agro-climatic conditions; switch to Historical District Mean / Naive Persistence during climate shock regimes or when lagged inputs deviate >2 standard deviations from district historical norms.,"Moderate win rate (75.0%) and positive gain (+2.31%), but elevated error observed in anomalous years (e.g. 2016 high-error regime) or extreme yield quantiles.",High-resolution soil moisture and sub-district irrigation access data.,Demonstrate error mitigation in anomalous years with climate covariates.,69.8,Moderate conditional evidence; requires operational guardrails.
Pigeonpea,BASELINE_PREFERRED,Historical District Mean,Naive Persistence,Statistical baseline (Historical District Mean) is the primary forecasting engine. No ML model deployed to production for this crop.,"ML consistently degraded forecast accuracy (win rate 25.0%, gain -5.63%). District historical yield distributions provide lower variance and superior robustness.","Crop-specific input data (fertilizer application, pest incidence, cultivar distribution).",Complete structural feature overhaul before reconsidering ML.,25.0,Clear baseline superiority; ML is not currently defensible.
Wheat,RESEARCH_CANDIDATE,Historical District Mean,Naive Persistence,Deploy statistical baseline (Historical District Mean) as primary operational forecaster. ML model (GradientBoostingRegressor) maintained in shadow/research mode for offline evaluation.,"ML shows localized predictive signal in selected districts, but overall walk-forward win rate is low (50.0%) or mean gain is negative (-18.36%).","Direct weather observations (precipitation, temperature anomalies) and satellite NDVI.",Substantial MAE improvement over baseline in >=3 walk-forward origins with exogenous data.,40.0,"Promising localized research signal, but insufficient for general forecasting."
Oilseeds,ROBUST_ML,RandomForestRegressor,Historical District Mean,Primary operational forecaster for pre-season yield estimation across all districts. Fallback to Historical District Mean only when district lag features are missing.,Demonstrated superior temporal stability across 75.0% of walk-forward origins with an average MAE gain of +12.79%. Error quantiles indicate tight dispersion.,"Pre-season weather indices (monsoon onset timing, cumulative precipitation).",Maintain >70% win rate when expanding to future post-2017 origins.,100.0,Strong empirical walk-forward evidence supporting production deployment.
Sugarcane,RESEARCH_CANDIDATE,Historical District Mean,Naive Persistence,Deploy statistical baseline (Historical District Mean) as primary operational forecaster. ML model (GradientBoostingRegressor) maintained in shadow/research mode for offline evaluation.,"ML shows localized predictive signal in selected districts, but overall walk-forward win rate is low (50.0%) or mean gain is negative (-1.6%).","Direct weather observations (precipitation, temperature anomalies) and satellite NDVI.",Substantial MAE improvement over baseline in >=3 walk-forward origins with exogenous data.,40.0,"Promising localized research signal, but insufficient for general forecasting."
Rapeseed and Mustard,BASELINE_PREFERRED,Historical District Mean,Naive Persistence,Statistical baseline (Historical District Mean) is the primary forecasting engine. No ML model deployed to production for this crop.,"ML consistently degraded forecast accuracy (win rate 25.0%, gain -10.8%). District historical yield distributions provide lower variance and superior robustness.","Crop-specific input data (fertilizer application, pest incidence, cultivar distribution).",Complete structural feature overhaul before reconsidering ML.,25.0,Clear baseline superiority; ML is not currently defensible.
Groundnut,BASELINE_PREFERRED,Historical District Mean,Naive Persistence,Statistical baseline (Historical District Mean) is the primary forecasting engine. No ML model deployed to production for this crop.,"ML consistently degraded forecast accuracy (win rate 25.0%, gain -7.87%). District historical yield distributions provide lower variance and superior robustness.","Crop-specific input data (fertilizer application, pest incidence, cultivar distribution).",Complete structural feature overhaul before reconsidering ML.,25.0,Clear baseline superiority; ML is not currently defensible.
Sorghum,BASELINE_PREFERRED,Historical District Mean,Naive Persistence,Statistical baseline (Historical District Mean) is the primary forecasting engine. No ML model deployed to production for this crop.,"ML consistently degraded forecast accuracy (win rate 25.0%, gain -3.5%). District historical yield distributions provide lower variance and superior robustness.","Crop-specific input data (fertilizer application, pest incidence, cultivar distribution).",Complete structural feature overhaul before reconsidering ML.,25.0,Clear baseline superiority; ML is not currently defensible.
Kharif Sorghum,ML_WITH_CONDITIONS,RandomForestRegressor,Historical District Mean,Conditional ML forecasting. Primary in normal agro-climatic conditions; switch to Historical District Mean / Naive Persistence during climate shock regimes or when lagged inputs deviate >2 standard deviations from district historical norms.,"Moderate win rate (50.0%) and positive gain (+1.3%), but elevated error observed in anomalous years (e.g. 2016 high-error regime) or extreme yield quantiles.",High-resolution soil moisture and sub-district irrigation access data.,Demonstrate error mitigation in anomalous years with climate covariates.,61.3,Moderate conditional evidence; requires operational guardrails.
Pearl Millet,BASELINE_PREFERRED,Historical District Mean,Naive Persistence,Statistical baseline (Historical District Mean) is the primary forecasting engine. No ML model deployed to production for this crop.,"ML consistently degraded forecast accuracy (win rate 0.0%, gain -6.04%). District historical yield distributions provide lower variance and superior robustness.","Crop-specific input data (fertilizer application, pest incidence, cultivar distribution).",Complete structural feature overhaul before reconsidering ML.,20.0,Clear baseline superiority; ML is not currently defensible.
