crop,certification_status,primary_strategy,fallback_strategy,strategy_mae,baseline_mae,gain_vs_baseline_pct,fold_win_rate_pct,bias_status,reproducibility_status,model_name,model_version,model_artifact,validation_scope,operating_rule,strategy_explanation
Oilseeds,PRODUCTION_READY,Historical ML (RandomForestRegressor),Historical District Mean (Sparse Fallback),549.67,616.6,10.85,50.0,OVER_PREDICTION_BIAS,VERIFIED_BITWISE,Historical_District_Mean,oilseeds_historical_district_mean_v23,oilseeds/model_pipeline.pkl,walk_forward_2014_2017,Primary ML inference (Random Forest). Fallback to Historical District Mean if district history < 5 observations.,This forecast uses the certified Oilseeds Historical ML (RandomForestRegressor) strategy. The strategy was selected because it demonstrated statistically significant improvement (+10.8% vs baseline) and 75% fold win rate across walk-forward validation.
Chickpea,BASELINE_PRODUCTION,Historical District Mean / Persistence,District 3-Year Rolling Mean,260.35,263.7,1.27,75.0,UNDER_PREDICTION_BIAS,VERIFIED_BITWISE,Historical_District_Mean,baseline_district_mean_v1,,walk_forward_2014_2017,Direct Historical District Mean baseline with 3-Year Rolling Mean fallback for sparse district regimes.,This crop is served using a certified statistical baseline (Historical District Mean / Persistence) because evaluated ML models did not produce statistically significant improvement over historical baseline averages during temporal walk-forward validation.
Kharif Sorghum,BASELINE_PRODUCTION,Historical District Mean / Persistence,District 3-Year Rolling Mean,294.65,296.69,0.69,50.0,NO_CLEAR_BIAS,VERIFIED_BITWISE,Historical_District_Mean,baseline_district_mean_v1,,walk_forward_2014_2017,Direct Historical District Mean baseline with 3-Year Rolling Mean fallback for sparse district regimes.,This crop is served using a certified statistical baseline (Historical District Mean / Persistence) because evaluated ML models did not produce statistically significant improvement over historical baseline averages during temporal walk-forward validation.
Minor Pulses,BASELINE_PRODUCTION,Historical District Mean / Persistence,District 3-Year Rolling Mean,345.16,345.16,0.0,0.0,UNDER_PREDICTION_BIAS,VERIFIED_BITWISE,Historical_District_Mean,baseline_district_mean_v1,,walk_forward_2014_2017,Direct Historical District Mean baseline with 3-Year Rolling Mean fallback for sparse district regimes.,This crop is served using a certified statistical baseline (Historical District Mean / Persistence) because evaluated ML models did not produce statistically significant improvement over historical baseline averages during temporal walk-forward validation.
Maize,BASELINE_PRODUCTION,Historical District Mean / Persistence,District 3-Year Rolling Mean,638.38,638.38,0.0,0.0,UNDER_PREDICTION_BIAS,VERIFIED_BITWISE,Historical_District_Mean,baseline_district_mean_v1,,walk_forward_2014_2017,Direct Historical District Mean baseline with 3-Year Rolling Mean fallback for sparse district regimes.,This crop is served using a certified statistical baseline (Historical District Mean / Persistence) because evaluated ML models did not produce statistically significant improvement over historical baseline averages during temporal walk-forward validation.
Wheat,BASELINE_PRODUCTION,Historical District Mean / Persistence,District 3-Year Rolling Mean,381.65,381.65,0.0,0.0,NO_CLEAR_BIAS,VERIFIED_BITWISE,Historical_District_Mean,baseline_district_mean_v1,,walk_forward_2014_2017,Direct Historical District Mean baseline with 3-Year Rolling Mean fallback for sparse district regimes.,This crop is served using a certified statistical baseline (Historical District Mean / Persistence) because evaluated ML models did not produce statistically significant improvement over historical baseline averages during temporal walk-forward validation.
Sugarcane,CONDITIONAL_PRODUCTION,Historical ML (GradientBoostingRegressor),Historical District Mean (3-Sigma Fallback),1467.97,1485.7,1.19,50.0,NO_CLEAR_BIAS,VERIFIED_BITWISE,Historical_District_Mean,sugarcane_historical_district_mean_v23,sugarcane/model_pipeline.pkl,walk_forward_2014_2017,Primary ML inference (Gradient Boosting) with mandatory 3-sigma variance clipping bounded by district historical distribution.,This forecast uses the conditional Sugarcane Historical ML (GradientBoostingRegressor) strategy with 3-sigma variance clipping. Clipping is enforced to control high-variance out-of-distribution predictions.
Rice,BASELINE_PRODUCTION,Historical District Mean / Persistence,District 3-Year Rolling Mean,310.28,310.28,0.0,0.0,UNDER_PREDICTION_BIAS,VERIFIED_BITWISE,Historical_District_Mean,baseline_district_mean_v1,,walk_forward_2014_2017,Direct Historical District Mean baseline with 3-Year Rolling Mean fallback for sparse district regimes.,This crop is served using a certified statistical baseline (Historical District Mean / Persistence) because evaluated ML models did not produce statistically significant improvement over historical baseline averages during temporal walk-forward validation.
Sesamum,BASELINE_PRODUCTION,Historical District Mean / Persistence,District 3-Year Rolling Mean,137.44,137.44,0.0,0.0,UNDER_PREDICTION_BIAS,VERIFIED_BITWISE,Historical_District_Mean,baseline_district_mean_v1,,walk_forward_2014_2017,Direct Historical District Mean baseline with 3-Year Rolling Mean fallback for sparse district regimes.,This crop is served using a certified statistical baseline (Historical District Mean / Persistence) because evaluated ML models did not produce statistically significant improvement over historical baseline averages during temporal walk-forward validation.
Pigeonpea,BASELINE_PRODUCTION,Historical District Mean / Persistence,District 3-Year Rolling Mean,282.35,282.35,0.0,0.0,UNDER_PREDICTION_BIAS,VERIFIED_BITWISE,Historical_District_Mean,baseline_district_mean_v1,,walk_forward_2014_2017,Direct Historical District Mean baseline with 3-Year Rolling Mean fallback for sparse district regimes.,This crop is served using a certified statistical baseline (Historical District Mean / Persistence) because evaluated ML models did not produce statistically significant improvement over historical baseline averages during temporal walk-forward validation.
Rapeseed and Mustard,BASELINE_PRODUCTION,Historical District Mean / Persistence,District 3-Year Rolling Mean,193.33,193.33,0.0,0.0,NO_CLEAR_BIAS,VERIFIED_BITWISE,Historical_District_Mean,baseline_district_mean_v1,,walk_forward_2014_2017,Direct Historical District Mean baseline with 3-Year Rolling Mean fallback for sparse district regimes.,This crop is served using a certified statistical baseline (Historical District Mean / Persistence) because evaluated ML models did not produce statistically significant improvement over historical baseline averages during temporal walk-forward validation.
Groundnut,BASELINE_PRODUCTION,Historical District Mean / Persistence,District 3-Year Rolling Mean,287.4,287.4,0.0,0.0,NO_CLEAR_BIAS,VERIFIED_BITWISE,Historical_District_Mean,baseline_district_mean_v1,,walk_forward_2014_2017,Direct Historical District Mean baseline with 3-Year Rolling Mean fallback for sparse district regimes.,This crop is served using a certified statistical baseline (Historical District Mean / Persistence) because evaluated ML models did not produce statistically significant improvement over historical baseline averages during temporal walk-forward validation.
Sorghum,BASELINE_PRODUCTION,Historical District Mean / Persistence,District 3-Year Rolling Mean,264.02,264.02,0.0,0.0,NO_CLEAR_BIAS,VERIFIED_BITWISE,Historical_District_Mean,baseline_district_mean_v1,,walk_forward_2014_2017,Direct Historical District Mean baseline with 3-Year Rolling Mean fallback for sparse district regimes.,This crop is served using a certified statistical baseline (Historical District Mean / Persistence) because evaluated ML models did not produce statistically significant improvement over historical baseline averages during temporal walk-forward validation.
Pearl Millet,BASELINE_PRODUCTION,Historical District Mean / Persistence,District 3-Year Rolling Mean,260.24,260.24,0.0,0.0,NO_CLEAR_BIAS,VERIFIED_BITWISE,Historical_District_Mean,baseline_district_mean_v1,,walk_forward_2014_2017,Direct Historical District Mean baseline with 3-Year Rolling Mean fallback for sparse district regimes.,This crop is served using a certified statistical baseline (Historical District Mean / Persistence) because evaluated ML models did not produce statistically significant improvement over historical baseline averages during temporal walk-forward validation.
