crop,regime,n_observations,yield_min_kg_ha,yield_max_kg_ha,ml_mae,baseline_mae,ml_improvement_pct,obs_win_rate,regime_status
Minor Pulses,Low Yield,308,0.0,456.71,357.38,363.43,1.66,42.86,ML_ADVANTAGE
Minor Pulses,Normal Yield,616,457.66,853.53,132.3,149.35,11.42,49.19,ML_ADVANTAGE
Minor Pulses,High Yield,308,853.82,18888.89,697.56,597.17,-16.81,37.99,BASELINE_ADVANTAGE
Maize,Low Yield,305,0.0,1473.68,524.57,409.04,-28.24,24.59,BASELINE_ADVANTAGE
Maize,Normal Yield,609,1476.56,3011.48,433.26,490.35,11.64,60.92,ML_ADVANTAGE
Maize,High Yield,305,3014.88,21428.57,1223.47,1169.66,-4.6,47.54,BASELINE_ADVANTAGE
Rice,Low Yield,308,0.0,1485.15,348.06,289.61,-20.18,25.0,BASELINE_ADVANTAGE
Rice,Normal Yield,616,1490.83,2806.85,321.04,296.07,-8.43,45.78,BASELINE_ADVANTAGE
Rice,High Yield,308,2808.41,4816.27,356.71,360.43,1.03,53.57,ML_ADVANTAGE
Sesamum,Low Yield,308,0.0,161.09,162.37,164.31,1.18,34.09,ML_ADVANTAGE
Sesamum,Normal Yield,614,165.42,510.47,85.45,85.89,0.51,47.88,ML_ADVANTAGE
Sesamum,High Yield,308,514.29,6625.0,222.23,213.03,-4.32,40.26,BASELINE_ADVANTAGE
Chickpea,Low Yield,308,0.0,588.24,251.03,265.64,5.5,32.47,ML_ADVANTAGE
Chickpea,Normal Yield,615,588.79,1159.42,180.56,194.2,7.02,52.85,ML_ADVANTAGE
Chickpea,High Yield,308,1161.83,5000.0,418.33,400.8,-4.37,42.86,BASELINE_ADVANTAGE
Pigeonpea,Low Yield,308,0.0,354.84,296.28,252.23,-17.46,20.45,BASELINE_ADVANTAGE
Pigeonpea,Normal Yield,615,354.95,1078.27,220.84,210.35,-4.99,44.39,BASELINE_ADVANTAGE
Pigeonpea,High Yield,309,1080.0,3827.59,434.34,432.12,-0.51,49.19,BASELINE_ADVANTAGE
Wheat,Low Yield,308,0.0,1211.54,279.58,244.04,-14.56,23.05,BASELINE_ADVANTAGE
Wheat,Normal Yield,616,1211.86,3179.28,412.92,387.35,-6.6,48.38,BASELINE_ADVANTAGE
Wheat,High Yield,308,3184.76,5531.77,636.84,505.64,-25.95,46.1,BASELINE_ADVANTAGE
Oilseeds,Low Yield,723,0.0,0.0,460.85,564.78,18.4,49.52,ML_ADVANTAGE
Oilseeds,Normal Yield,198,70.42,853.99,323.72,311.96,-3.77,48.99,BASELINE_ADVANTAGE
Oilseeds,High Yield,308,854.6,18147.8,569.68,558.13,-2.07,52.92,BASELINE_ADVANTAGE
Sugarcane,Low Yield,302,0.0,633.11,1628.85,1398.36,-16.48,17.55,BASELINE_ADVANTAGE
Sugarcane,Normal Yield,604,634.1,7553.19,1171.96,1265.96,7.43,54.3,ML_ADVANTAGE
Sugarcane,High Yield,302,7553.2,17987.95,1804.97,1799.76,-0.29,48.68,BASELINE_ADVANTAGE
Rapeseed and Mustard,Low Yield,308,0.0,196.43,144.44,126.5,-14.18,16.56,BASELINE_ADVANTAGE
Rapeseed and Mustard,Normal Yield,616,200.0,1167.31,184.39,185.55,0.63,50.65,ML_ADVANTAGE
Rapeseed and Mustard,High Yield,308,1168.3,2646.15,316.58,269.8,-17.34,44.81,BASELINE_ADVANTAGE
Groundnut,Low Yield,310,0.0,0.0,251.23,236.65,-6.16,12.26,BASELINE_ADVANTAGE
Groundnut,Normal Yield,612,45.01,1743.47,284.98,247.32,-15.23,36.27,BASELINE_ADVANTAGE
Groundnut,High Yield,308,1744.05,4229.67,426.17,427.32,0.27,51.62,ML_ADVANTAGE
Sorghum,Low Yield,424,0.0,0.0,134.35,137.16,2.05,7.78,ML_ADVANTAGE
Sorghum,Normal Yield,499,62.83,1125.0,234.23,241.02,2.82,47.29,ML_ADVANTAGE
Sorghum,High Yield,308,1129.31,5742.59,530.93,476.72,-11.37,40.26,BASELINE_ADVANTAGE
Kharif Sorghum,Low Yield,481,0.0,0.0,159.41,146.82,-8.58,14.14,BASELINE_ADVANTAGE
Kharif Sorghum,Normal Yield,442,62.83,1095.24,246.51,304.06,18.93,57.01,ML_ADVANTAGE
Kharif Sorghum,High Yield,308,1096.27,3964.29,557.75,508.51,-9.68,39.94,BASELINE_ADVANTAGE
Pearl Millet,Low Yield,522,0.0,0.0,162.79,153.71,-5.91,14.37,BASELINE_ADVANTAGE
Pearl Millet,Normal Yield,399,0.84,1327.04,260.65,244.39,-6.65,46.37,BASELINE_ADVANTAGE
Pearl Millet,High Yield,307,1333.33,10000.0,483.66,457.98,-5.61,43.32,BASELINE_ADVANTAGE
